from,to,ini,res,rea,sus,pmax,qmax
65,66,1,8.860605493667593e-08,2.0032673290031085e-08,0,114868.82148781714,114868.82148781714
68,69,1,2.1390389113346868e-07,4.8360879734523364e-08,0,114868.82148781714,114868.82148781714
69,70,1,9.047941091411435e-08,2.0456214641451943e-08,0,114868.82148781714,114868.82148781714
69,76,1,8.704771498258141e-08,1.9680352952583627e-08,0,114868.82148781714,114868.82148781714
71,72,1,8.158828249319481e-08,1.844604647672231e-08,0,114868.82148781714,114868.82148781714
72,73,1,7.889417697457396e-08,1.78369443594689e-08,0,114868.82148781714,114868.82148781714
73,74,1,9.438151486798784e-08,2.1338429448414646e-08,0,114868.82148781714,114868.82148781714
74,75,1,8.507575393301233e-08,1.9234518280507138e-08,0,114868.82148781714,114868.82148781714
75,76,1,7.028710079815384e-08,1.5890996702191308e-08,0,114868.82148781714,114868.82148781714
77,78,1,6.99263225280062e-08,1.5809429441114447e-08,0,114868.82148781714,114868.82148781714
78,80,1,1.411199603481642e-07,3.190538233958496e-08,0,114868.82148781714,114868.82148781714
78,84,1,3.2905792451867787e-07,7.439570467378805e-08,0,114868.82148781714,114868.82148781714
79,80,1,8.188318562155776e-08,1.8512720227482624e-08,0,114868.82148781714,114868.82148781714
79,81,1,1.7218925836140288e-07,3.892974536866501e-08,0,114868.82148781714,114868.82148781714
85,86,1,1.4064698646352907e-07,3.179844911349354e-08,0,114868.82148781714,114868.82148781714
85,92,1,1.9944555698170272e-07,4.5092038969776276e-08,0,114868.82148781714,114868.82148781714
86,136,1,4.2824945983266715e-07,9.68216170056465e-08,0,114868.82148781714,114868.82148781714
87,88,1,2.0503418293704985e-07,4.635555440315911e-08,0,114868.82148781714,114868.82148781714
87,96,1,2.090523881296189e-07,4.726401818582689e-08,0,114868.82148781714,114868.82148781714
88,89,1,1.0581116257903605e-07,2.3922523713521197e-08,0,114868.82148781714,114868.82148781714
88,95,1,1.0398954640761936e-07,2.3510680057374817e-08,0,114868.82148781714,114868.82148781714
89,90,1,1.0451879692741654e-07,2.3630336696633312e-08,0,114868.82148781714,114868.82148781714
90,91,1,8.494235832226318e-08,1.9204359272859507e-08,0,114868.82148781714,114868.82148781714
91,92,1,8.802574942081559e-08,1.9901473782097442e-08,0,114868.82148781714,114868.82148781714
92,93,1,9.298299882111665e-08,2.1022243211730724e-08,0,114868.82148781714,114868.82148781714
94,95,1,7.710806928811424e-08,1.7433128708617135e-08,0,114868.82148781714,114868.82148781714
96,102,1,2.6951173152795147e-07,6.09330871280586e-08,0,114868.82148781714,114868.82148781714
97,105,1,2.111154943213794e-07,4.7730459585703175e-08,0,114868.82148781714,114868.82148781714
97,109,1,2.2095632630611302e-07,4.995534333877339e-08,0,114868.82148781714,114868.82148781714
98,99,1,9.833690678590863e-08,2.2232691968988042e-08,0,114868.82148781714,114868.82148781714
99,100,1,8.794688549127614e-08,1.9883643676288522e-08,0,114868.82148781714,114868.82148781714
100,101,1,1.1535414830766477e-07,2.6080068313037256e-08,0,114868.82148781714,114868.82148781714
101,102,1,9.841407404717783e-08,2.2250138480231515e-08,0,114868.82148781714,114868.82148781714
102,103,1,9.917617067831195e-08,2.2422438588140094e-08,0,114868.82148781714,114868.82148781714
103,104,1,1.0437906980057585e-07,2.359874621578237e-08,0,114868.82148781714,114868.82148781714
104,105,1,9.459294218655398e-08,2.1386230407394817e-08,0,114868.82148781714,114868.82148781714
106,107,1,1.7808224150143143e-07,4.026207199162798e-08,0,114868.82148781714,114868.82148781714
107,108,1,9.138298644558603e-08,2.0660501283349887e-08,0,114868.82148781714,114868.82148781714
107,114,1,8.535400792824793e-08,1.929742787942997e-08,0,114868.82148781714,114868.82148781714
108,109,1,6.35717958652685e-08,1.4372753847799836e-08,0,114868.82148781714,114868.82148781714
109,110,1,8.804635239175909e-08,1.9906131845093366e-08,0,114868.82148781714,114868.82148781714
110,111,1,9.943090981358375e-08,2.248003178394068e-08,0,114868.82148781714,114868.82148781714
111,112,1,9.226629297920736e-08,2.08602053692121e-08,0,114868.82148781714,114868.82148781714
112,113,1,7.601990353434236e-08,1.7187108625155666e-08,0,114868.82148781714,114868.82148781714
114,119,1,1.861702716503715e-07,4.2090670112257915e-08,0,114868.82148781714,114868.82148781714
115,116,1,1.358460027435599e-07,3.071300931593529e-08,0,114868.82148781714,114868.82148781714
116,117,1,7.746364584735762e-08,1.7513519930706944e-08,0,114868.82148781714,114868.82148781714
116,123,1,1.0525597875610274e-07,2.37970038926841e-08,0,114868.82148781714,114868.82148781714
117,118,1,9.359058034445397e-08,2.1159609469180903e-08,0,114868.82148781714,114868.82148781714
118,119,1,7.832939512985076e-08,1.7709254551096697e-08,0,114868.82148781714,114868.82148781714
119,120,1,1.019104897379911e-07,2.3040632462502342e-08,0,114868.82148781714,114868.82148781714
120,121,1,6.768180333822627e-08,1.5301972928642465e-08,0,114868.82148781714,114868.82148781714
121,122,1,8.058617722878688e-08,1.8219483547377907e-08,0,114868.82148781714,114868.82148781714
124,125,1,5.381147123669332e-07,1.2166071757861098e-07,0,114868.82148781714,114868.82148781714
124,204,1,3.133079846497216e-07,7.083484870341532e-08,0,114868.82148781714,114868.82148781714
126,130,1,2.840127650084572e-07,6.421158165408598e-08,0,114868.82148781714,114868.82148781714
126,164,1,2.8500020067594696e-07,6.443482797890976e-08,0,114868.82148781714,114868.82148781714
127,128,1,1.4470668706570366e-07,3.2716294467028656e-08,0,114868.82148781714,114868.82148781714
127,139,1,4.51050291551177e-07,1.0197658765504873e-07,0,114868.82148781714,114868.82148781714
128,129,1,1.0283256849469775e-07,2.3249102442279496e-08,0,114868.82148781714,114868.82148781714
128,135,1,1.0791589268268231e-07,2.4398375736954268e-08,0,114868.82148781714,114868.82148781714
129,130,1,9.7713170399815e-08,2.2091673307784266e-08,0,114868.82148781714,114868.82148781714
130,131,1,1.117048192423927e-07,2.5255002611323574e-08,0,114868.82148781714,114868.82148781714
131,132,1,1.1158384714262657e-07,2.5227652397463405e-08,0,114868.82148781714,114868.82148781714
132,133,1,8.066856715444933e-08,1.8238110834918986e-08,0,114868.82148781714,114868.82148781714
132,154,1,2.896163426702298e-07,6.547847747326936e-08,0,114868.82148781714,114868.82148781714
133,134,1,1.0614540346165208e-07,2.3998091217416996e-08,0,114868.82148781714,114868.82148781714
136,137,1,2.308321344563731e-07,5.218813474665827e-08,0,114868.82148781714,114868.82148781714
137,138,1,1.0168453613750367e-07,2.298954730065301e-08,0,114868.82148781714,114868.82148781714
137,144,1,1.0574968654193589e-07,2.3908624783394206e-08,0,114868.82148781714,114868.82148781714
138,139,1,1.1724846430567796e-07,2.6508348451718502e-08,0,114868.82148781714,114868.82148781714
139,140,1,1.1354043867257894e-07,2.567001222162655e-08,0,114868.82148781714,114868.82148781714
140,141,1,8.958673334728465e-08,2.0254391887212183e-08,0,114868.82148781714,114868.82148781714
141,142,1,1.1210824400372145e-07,2.53462116877979e-08,0,114868.82148781714,114868.82148781714
143,144,1,1.0584643294621664e-07,2.3930497883492464e-08,0,114868.82148781714,114868.82148781714
145,146,1,1.270744198806751e-07,2.8729868842587418e-08,0,114868.82148781714,114868.82148781714
146,147,1,1.187507524828098e-07,2.684799621350483e-08,0,114868.82148781714,114868.82148781714
146,153,1,1.031415387243094e-07,2.3318956581148218e-08,0,114868.82148781714,114868.82148781714
147,148,1,7.657607084712793e-08,1.731285080022023e-08,0,114868.82148781714,114868.82148781714
148,154,1,2.350060936015845e-07,5.3131812466445204e-08,0,114868.82148781714,114868.82148781714
149,150,1,1.0798287655457888e-07,2.4413519916687406e-08,0,114868.82148781714,114868.82148781714
150,151,1,1.200816004728821e-07,2.714888358517335e-08,0,114868.82148781714,114868.82148781714
151,152,1,1.0197025763133127e-07,2.3054145203605332e-08,0,114868.82148781714,114868.82148781714
152,153,1,1.3452409999565235e-07,3.041414434684315e-08,0,114868.82148781714,114868.82148781714
154,155,1,2.44502999510324e-07,5.527893901972543e-08,0,114868.82148781714,114868.82148781714
155,156,1,1.2509839209455904e-07,2.828311473442205e-08,0,114868.82148781714,114868.82148781714
156,157,1,1.1504613860997509e-07,2.6010431337907417e-08,0,114868.82148781714,114868.82148781714
156,163,1,9.666626635221581e-08,2.1854981957892275e-08,0,114868.82148781714,114868.82148781714
157,158,1,8.903193607729617e-08,2.0128959460953922e-08,0,114868.82148781714,114868.82148781714
159,160,1,6.192069475019195e-08,1.3999461421782533e-08,0,114868.82148781714,114868.82148781714
160,161,1,1.0231852213291865e-07,2.3132883264833786e-08,0,114868.82148781714,114868.82148781714
161,162,1,1.2256715356346785e-07,2.7710834718697082e-08,0,114868.82148781714,114868.82148781714
162,163,1,7.840570603596412e-08,1.7726507451609283e-08,0,114868.82148781714,114868.82148781714
164,165,1,1.7680128482495193e-07,3.997246439520653e-08,0,114868.82148781714,114868.82148781714
164,206,1,5.914052770620288e-07,1.3370901916185004e-07,0,114868.82148781714,114868.82148781714
165,166,1,1.1292613940510636e-07,2.553112716985014e-08,0,114868.82148781714,114868.82148781714
165,172,1,9.84124746927775e-08,2.224977688706274e-08,0,114868.82148781714,114868.82148781714
166,167,1,8.892277732149042e-08,2.01042800900761e-08,0,114868.82148781714,114868.82148781714
167,168,1,1.0179904183128798e-07,2.3015435544465113e-08,0,114868.82148781714,114868.82148781714
168,169,1,8.299653151887121e-08,1.8764433212962192e-08,0,114868.82148781714,114868.82148781714
168,173,1,1.9438233709276128e-07,4.394731099488517e-08,0,114868.82148781714,114868.82148781714
169,170,1,9.802556007428611e-08,2.2162300538534257e-08,0,114868.82148781714,114868.82148781714
171,172,1,9.97890905808189e-08,2.2561011783489495e-08,0,114868.82148781714,114868.82148781714
173,174,1,1.4141062584474825e-07,3.197109801707352e-08,0,114868.82148781714,114868.82148781714
174,175,1,9.632772731294304e-08,2.1778442696839302e-08,0,114868.82148781714,114868.82148781714
174,181,1,1.6008756780366916e-07,3.619371098169912e-08,0,114868.82148781714,114868.82148781714
175,176,1,9.876020926977253e-08,2.2328395139252925e-08,0,114868.82148781714,114868.82148781714
176,182,1,2.9607083344260323e-07,6.693775364789291e-08,0,114868.82148781714,114868.82148781714
177,178,1,8.549204152541759e-08,1.9328635475311807e-08,0,114868.82148781714,114868.82148781714
178,179,1,8.515427756618667e-08,1.925227144974656e-08,0,114868.82148781714,114868.82148781714
179,180,1,1.0239393454661459e-07,2.314993302793026e-08,0,114868.82148781714,114868.82148781714
180,181,1,1.118721620138512e-07,2.5292836629218538e-08,0,114868.82148781714,114868.82148781714
182,183,1,1.9606572923511083e-07,4.4327904000981586e-08,0,114868.82148781714,114868.82148781714
183,184,1,1.0884225390081002e-07,2.460781392540053e-08,0,114868.82148781714,114868.82148781714
183,190,1,1.0377627156410891e-07,2.346246139710289e-08,0,114868.82148781714,114868.82148781714
184,185,1,8.95319811442859e-08,2.0242013128273337e-08,0,114868.82148781714,114868.82148781714
186,187,1,9.651992260025314e-08,2.1821895544405064e-08,0,114868.82148781714,114868.82148781714
186,191,1,2.0266443137420713e-07,4.581978448460336e-08,0,114868.82148781714,114868.82148781714
187,188,1,9.645073779813419e-08,2.1806253763056428e-08,0,114868.82148781714,114868.82148781714
188,189,1,1.0584973934764415e-07,2.3931245417728247e-08,0,114868.82148781714,114868.82148781714
189,190,1,1.1746827729164786e-07,2.655804530072039e-08,0,114868.82148781714,114868.82148781714
191,199,1,2.214021636308437e-07,5.0056141342625545e-08,0,114868.82148781714,114868.82148781714
192,193,1,1.0962912579329139e-07,2.4785715396744144e-08,0,114868.82148781714,114868.82148781714
192,199,1,9.197920306020254e-08,2.079529808317623e-08,0,114868.82148781714,114868.82148781714
193,194,1,9.062282520350601e-08,2.0488638741662233e-08,0,114868.82148781714,114868.82148781714
194,195,1,9.562010064501242e-08,2.1618457537133247e-08,0,114868.82148781714,114868.82148781714
195,196,1,6.929370705862718e-08,1.5666403334993972e-08,0,114868.82148781714,114868.82148781714
196,200,1,5.065357895701607e-07,1.1452113503325376e-07,0,114868.82148781714,114868.82148781714
197,198,1,9.969024446842807e-08,2.2538663966775046e-08,0,114868.82148781714,114868.82148781714
198,199,1,9.586799911181076e-08,2.1674504147018087e-08,0,114868.82148781714,114868.82148781714
200,201,1,1.7325644025302545e-07,3.917102127459707e-08,0,114868.82148781714,114868.82148781714
201,202,1,1.1869412297075313e-07,2.6835193019474625e-08,0,114868.82148781714,114868.82148781714
202,203,1,1.460784794614263e-07,3.302643883475726e-08,0,114868.82148781714,114868.82148781714
204,205,1,3.565369499743388e-07,8.060835390724182e-08,0,114868.82148781714,114868.82148781714
205,206,1,1.4426325049643575e-07,3.261603924267244e-08,0,114868.82148781714,114868.82148781714
206,207,1,2.3081769124621878e-07,5.218486932523208e-08,0,114868.82148781714,114868.82148781714
207,208,1,1.3071572300297837e-07,2.955311998328207e-08,0,114868.82148781714,114868.82148781714
208,209,1,3.379387626891255e-07,7.640354634710665e-08,0,114868.82148781714,114868.82148781714
209,210,1,1.6343804312423195e-07,3.6951209749826356e-08,0,114868.82148781714,114868.82148781714
209,212,1,2.600462309535858e-07,5.87930609112455e-08,0,114868.82148781714,114868.82148781714
211,215,1,1.100350263392559e-07,2.4877484215831774e-08,0,114868.82148781714,114868.82148781714
212,213,1,2.0166886586071427e-07,4.559470010763976e-08,0,114868.82148781714,114868.82148781714
212,217,1,1.759471469623881e-07,3.977935496540949e-08,0,114868.82148781714,114868.82148781714
213,219,1,1.2791290410232694e-07,2.8919439188352182e-08,0,114868.82148781714,114868.82148781714
213,220,1,5.505645652817215e-07,1.2447546693325881e-07,0,114868.82148781714,114868.82148781714
214,215,1,2.2844095657036951e-07,5.164752061590964e-08,0,114868.82148781714,114868.82148781714
215,216,1,2.362592805846698e-07,5.341514169740362e-08,0,114868.82148781714,114868.82148781714
215,217,1,1.7569507548459953e-07,3.9722364892170334e-08,0,114868.82148781714,114868.82148781714
217,218,1,2.5086693541001834e-07,5.671774191878677e-08,0,114868.82148781714,114868.82148781714
220,221,1,2.6738641019270096e-07,6.04525796957411e-08,0,114868.82148781714,114868.82148781714
221,223,1,3.8151680544640033e-07,8.625597340527313e-08,0,114868.82148781714,114868.82148781714
222,224,1,4.470964917013763e-07,1.0108268508031119e-07,0,114868.82148781714,114868.82148781714
223,224,1,2.1195611475201124e-07,4.792051290045472e-08,0,114868.82148781714,114868.82148781714
223,226,1,1.4549246398676324e-07,3.289394837961604e-08,0,114868.82148781714,114868.82148781714
224,227,1,1.8771821429047295e-07,4.2440639752628674e-08,0,114868.82148781714,114868.82148781714
225,228,1,1.5815246316751563e-07,3.575620906396006e-08,0,114868.82148781714,114868.82148781714
225,229,1,2.3631594831401e-07,5.342795353186314e-08,0,114868.82148781714,114868.82148781714
227,228,1,2.0560401690192484e-07,4.648438643000041e-08,0,114868.82148781714,114868.82148781714
228,249,1,2.4239051891730996e-07,5.480133471173965e-08,0,114868.82148781714,114868.82148781714
230,231,1,2.8603402366863437e-07,6.466856187290864e-08,0,114868.82148781714,114868.82148781714
230,251,1,2.392266427239845e-07,5.4086023572379115e-08,0,114868.82148781714,114868.82148781714
231,232,1,1.4063101023203027e-07,3.1794837095937286e-08,0,114868.82148781714,114868.82148781714
232,233,1,1.8368283226260808e-07,4.1528292511546186e-08,0,114868.82148781714,114868.82148781714
233,234,1,1.604829953254032e-07,3.62831119866129e-08,0,114868.82148781714,114868.82148781714
234,235,1,1.493577322823322e-07,3.3767835124701195e-08,0,114868.82148781714,114868.82148781714
235,236,1,1.6807670255951326e-07,3.799995014388996e-08,0,114868.82148781714,114868.82148781714
236,237,1,1.1878132059616891e-07,2.6854907265220804e-08,0,114868.82148781714,114868.82148781714
237,259,1,4.7328827758345595e-06,1.0700430623625962e-06,0,114868.82148781714,114868.82148781714
238,239,1,1.5411533412358388e-07,3.484346684533201e-08,0,114868.82148781714,114868.82148781714
238,242,1,2.999114448668534e-07,6.780606579598426e-08,0,114868.82148781714,114868.82148781714
239,240,1,1.56608109089974e-07,3.5407050750776735e-08,0,114868.82148781714,114868.82148781714
239,258,1,6.366968827854762e-07,1.4394886045584683e-07,0,114868.82148781714,114868.82148781714
240,241,1,1.5006074652797394e-07,3.3926777475889767e-08,0,114868.82148781714,114868.82148781714
242,248,1,3.5377184360128136e-07,7.998319942289841e-08,0,114868.82148781714,114868.82148781714
243,244,1,2.559384882357028e-07,5.786435386198499e-08,0,114868.82148781714,114868.82148781714
244,245,1,2.8135600336553625e-07,6.361092250003429e-08,0,114868.82148781714,114868.82148781714
244,247,1,1.90881591985173e-07,4.3155838187952165e-08,0,114868.82148781714,114868.82148781714
245,246,1,2.2647763828653963e-07,5.1203639960435055e-08,0,114868.82148781714,114868.82148781714
245,248,1,2.6137811462769256e-07,5.909418243756529e-08,0,114868.82148781714,114868.82148781714
246,250,1,2.4392957902341993e-07,5.514929612703408e-08,0,114868.82148781714,114868.82148781714
247,254,1,6.160063383544594e-07,1.3927099823666042e-07,0,114868.82148781714,114868.82148781714
249,250,1,1.940857067359388e-07,4.388024674029922e-08,0,114868.82148781714,114868.82148781714
250,251,1,1.9332795978469924e-07,4.3708930038279836e-08,0,114868.82148781714,114868.82148781714
251,252,1,2.63639870622753e-07,5.96055359668833e-08,0,114868.82148781714,114868.82148781714
253,260,1,3.184052546960079e-07,7.198727497474963e-08,0,114868.82148781714,114868.82148781714
254,260,1,5.602696220650316e-07,1.2666965368426804e-07,0,114868.82148781714,114868.82148781714
255,256,1,2.616777034842305e-07,5.916191557034778e-08,0,114868.82148781714,114868.82148781714
256,257,1,2.298107729932505e-07,5.195721824195229e-08,0,114868.82148781714,114868.82148781714
257,258,1,2.1187942476640363e-07,4.7903174295013004e-08,0,114868.82148781714,114868.82148781714
